Province,Date,Item,Count
广东省,2020-02-14,confirmed,1261
广东省,2020-02-13,confirmed,1219
广东省,2020-02-12,confirmed,1219
广东省,2020-02-11,confirmed,1177
广东省,2020-02-10,confirmed,1151
广东省,2020-02-09,confirmed,1120
广东省,2020-02-08,confirmed,1075
广东省,2020-02-07,confirmed,1018
广东省,2020-02-06,confirmed,944
广东省,2020-02-05,confirmed,813
广东省,2020-02-04,confirmed,797
广东省,2020-02-03,confirmed,683
广东省,2020-02-02,confirmed,535
广东省,2020-02-01,confirmed,520
广东省,2020-01-31,confirmed,393
广东省,2020-01-30,confirmed,311
广东省,2020-01-29,confirmed,241
广东省,2020-01-28,confirmed,151
广东省,2020-01-27,confirmed,146
广东省,2020-01-26,confirmed,51
广东省,2020-01-25,confirmed,53
广东省,2020-01-24,confirmed,32
广东省,2020-01-23,confirmed,32
广东省,2020-01-22,confirmed,17
天津市,2020-05-25,confirmed,192
天津市,2020-05-17,confirmed,192
天津市,2020-05-14,confirmed,191
天津市,2020-05-08,confirmed,191
天津市,2020-05-03,confirmed,190
天津市,2020-05-02,confirmed,190
天津市,2020-05-01,confirmed,190
天津市,2020-04-29,confirmed,190
天津市,2020-04-26,confirmed,190
天津市,2020-04-25,confirmed,190
天津市,2020-04-24,confirmed,190
天津市,2020-04-23,confirmed,189
天津市,2020-04-21,confirmed,189
天津市,2020-04-19,confirmed,189
天津市,2020-04-17,confirmed,189
天津市,2020-04-16,confirmed,185
天津市,2020-04-15,confirmed,185
天津市,2020-04-14,confirmed,185
天津市,2020-04-13,confirmed,184
天津市,2020-04-12,confirmed,183
天津市,2020-04-11,confirmed,183
天津市,2020-04-10,confirmed,182
天津市,2020-04-09,confirmed,181
天津市,2020-04-08,confirmed,180
天津市,2020-04-07,confirmed,180
天津市,2020-04-04,confirmed,180
天津市,2020-04-03,confirmed,179
天津市,2020-04-01,confirmed,174
天津市,2020-03-31,confirmed,174
天津市,2020-03-30,confirmed,169
天津市,2020-03-29,confirmed,163
天津市,2020-03-28,confirmed,156
